idx	sing	plur	freq	inVocabs
_	coerces	coerce	_	0
_	coheres	cohere	_	0
_	coils	coil	_	0
_	coincides	coincide	_	0
_	coins	coin	_	1
_	collaborates	collaborate	_	0
_	collapses	collapse	_	1
_	collates	collate	_	0
_	collects	collect	_	1
_	collides	collide	_	0
_	colonizes	colonize	_	0
_	colors	color	_	1
_	combats	combat	_	0
_	combines	combine	_	1
_	combs	comb	_	0
_	comes	come	_	1
_	comforts	comfort	_	0
_	commandeers	commandeer	_	0
_	commands	command	_	1
_	commemorates	commemorate	_	0
_	commences	commence	_	0
_	commends	commend	_	0
_	comments	comment	_	1
_	commercializes	commercialize	_	0
_	commissions	commission	_	1
_	commits	commit	_	1
_	communicates	communicate	_	0
_	commutes	commute	_	0
_	compacts	compact	_	0
_	compares	compare	_	1
_	compels	compel	_	0
_	compensates	compensate	_	0
_	competes	compete	_	0
_	compiles	compile	_	0
_	complains	complain	_	0
_	complements	complement	_	0
_	completes	complete	_	1
_	complicates	complicate	_	0
_	complies	comply	_	0
_	compliments	compliment	_	0
_	composes	compose	_	0
_	compounds	compound	_	1
_	comprehends	comprehend	_	0
_	compresses	compress	_	0
_	comprises	comprise	_	1
_	compromises	compromise	_	0
_	computerizes	computerize	_	0
_	computes	compute	_	0
_	conceals	conceal	_	0
_	concedes	concede	_	0
_	conceives	conceive	_	0
_	concentrates	concentrate	_	0
_	conceptualizes	conceptualize	_	0
_	concerns	concern	_	1
_	concerts	concert	_	1
_	concludes	conclude	_	1
_	concocts	concoct	_	0
_	concurs	concur	_	0
_	condemns	condemn	_	0
_	condenses	condense	_	0
_	conditions	condition	_	1
_	condones	condone	_	0
_	conducts	conduct	_	1
_	confers	confer	_	0
_	confesses	confess	_	0
_	confides	confide	_	0
_	configures	configure	_	0
_	confines	confine	_	0
_	confirms	confirm	_	1
_	confiscates	confiscate	_	0
_	conflicts	conflict	_	1
_	conforms	conform	_	0
_	confounds	confound	_	0
_	confronts	confront	_	1
_	confuses	confuse	_	0
_	congratulates	congratulate	_	0
_	congregates	congregate	_	0
_	conjures	conjure	_	0
_	connects	connect	_	1
_	connotes	connote	_	0
_	conquers	conquer	_	0
_	cons	con	_	0
_	consecrates	consecrate	_	0
_	consents	consent	_	0
_	conserves	conserve	_	0
_	considers	consider	_	1
_	consigns	consign	_	0
_	consists	consist	_	1
_	consoles	console	_	1
_	consolidates	consolidate	_	0
_	conspires	conspire	_	0
_	constitutes	constitute	_	1
_	constrains	constrain	_	0
_	constricts	constrict	_	0
_	constructs	construct	_	0
_	construes	construe	_	0
_	consults	consult	_	0
_	consumes	consume	_	0
_	contacts	contact	_	1
_	contains	contain	_	1
_	contaminates	contaminate	_	0
_	contemplates	contemplate	_	0
_	contemporizes	contemporize	_	0
_	contends	contend	_	0
_	contents	content	_	1
_	contests	contest	_	1
_	continues	continue	_	1
_	contorts	contort	_	0
_	contracts	contract	_	1
_	contradicts	contradict	_	0
_	contrasts	contrast	_	1
_	contravenes	contravene	_	0
_	contributes	contribute	_	1
_	contrives	contrive	_	0
_	controls	control	_	1
_	convenes	convene	_	0
_	converges	converge	_	0
_	converses	converse	_	0
_	converts	convert	_	1
_	conveys	convey	_	0
_	convicts	convict	_	0
_	convinces	convince	_	0
_	cooks	cook	_	1
_	cools	cool	_	0
_	cooperates	cooperate	_	0
_	coordinates	coordinate	_	1
_	copes	cope	_	0
_	copies	copy	_	1
_	copyrights	copyright	_	0
_	corners	corner	_	1
_	corrals	corral	_	0
_	corrects	correct	_	0
_	correlates	correlate	_	0
_	corresponds	correspond	_	1
_	corroborates	corroborate	_	0
_	corrupts	corrupt	_	0
_	costs	cost	_	1
_	couches	couch	_	0
_	coughs	cough	_	0
_	counsels	counsel	_	0
_	countenances	countenance	_	0
_	counteracts	counteract	_	0
_	counterbalances	counterbalance	_	0
_	counterprograms	counterprogram	_	0
_	counters	counter	_	1
_	counts	count	_	1
_	courts	court	_	1
_	covers	cover	_	1
_	covets	covet	_	0
_	crackles	crackle	_	0
_	cracks	crack	_	1
_	cradles	cradle	_	0
_	crafts	craft	_	1
_	cramps	cramp	_	0
_	crams	cram	_	0
_	cranes	crane	_	0
_	cranks	crank	_	0
_	crashes	crash	_	1
_	craves	crave	_	0
_	crawls	crawl	_	0
_	creaks	creak	_	0
_	creases	crease	_	0
_	creates	create	_	1
_	credits	credit	_	1
_	creeps	creep	_	0
_	cremates	cremate	_	0
_	crests	crest	_	0
_	cries	cry	_	1
_	criminalizes	criminalize	_	0
_	crimps	crimp	_	0
_	cringes	cringe	_	0
_	cripples	cripple	_	0
_	criticizes	criticize	_	0
_	critiques	critique	_	0
_	croaks	croak	_	0
_	crops	crop	_	1
_	cross-examines	cross-examine	_	0
_	crosses	cross	_	1
_	crouches	crouch	_	0
_	crowds	crowd	_	1
_	crowns	crown	_	0
_	crows	crow	_	0
_	cruises	cruise	_	0
_	crumbles	crumble	_	0
_	crumples	crumple	_	0
_	crunches	crunch	_	0
_	crushes	crush	_	0
_	crystallizes	crystallize	_	0
_	cuddles	cuddle	_	0
_	cuffs	cuff	_	0
_	culls	cull	_	0
_	culminates	culminate	_	0
_	cultivates	cultivate	_	0
_	cups	cup	_	1
_	curbs	curb	_	0
_	cures	cure	_	0
_	curls	curl	_	1
_	curries	curry	_	0
_	curses	curse	_	1
_	curtails	curtail	_	0
_	curves	curve	_	1
_	cushions	cushion	_	0
_	customizes	customize	_	0
_	cuts	cut	_	1
_	cycles	cycle	_	1
_	dabbles	dabble	_	0
_	dabs	dab	_	0
_	damages	damage	_	1
_	dampens	dampen	_	0
_	damps	damp	_	0
_	dances	dance	_	1
_	dangles	dangle	_	0
_	dares	dare	_	0
_	darkens	darken	_	0
_	darts	dart	_	1
_	dashes	dash	_	0
_	dates	date	_	1
_	dawns	dawn	_	0
_	dazes	daze	_	0
_	dazzles	dazzle	_	0
_	deadlocks	deadlock	_	0
_	deals	deal	_	1
_	debates	debate	_	1
_	debits	debit	_	0
_	debunks	debunk	_	0
_	debuts	debut	_	0
_	decays	decay	_	0
_	deceives	deceive	_	0
_	decentralizes	decentralize	_	0
_	decides	decide	_	1
_	decimates	decimate	_	0
_	deciphers	decipher	_	0
_	decks	deck	_	1
_	declares	declare	_	1
_	declines	decline	_	1
_	decomposes	decompose	_	0
_	decorates	decorate	_	0
_	decreases	decrease	_	1
_	decrees	decree	_	0
_	dedicates	dedicate	_	0
_	deduces	deduce	_	0
_	deducts	deduct	_	0
_	deeds	deed	_	1
_	deems	deem	_	0
_	deepens	deepen	_	0
_	defaces	deface	_	0
_	defaults	default	_	0
_	defeats	defeat	_	1
_	defects	defect	_	1
_	defends	defend	_	0
_	defers	defer	_	0
_	defies	defy	_	0
_	defines	define	_	1
_	deflates	deflate	_	0
_	deflects	deflect	_	0
_	deforms	deform	_	0
_	defrauds	defraud	_	0
_	defrays	defray	_	0
_	defuses	defuse	_	0
_	degenerates	degenerate	_	0
_	degrades	degrade	_	0
_	dehydrates	dehydrate	_	0
_	delays	delay	_	1
_	delegates	delegate	_	1
_	deletes	delete	_	0
_	deliberates	deliberate	_	0
_	delights	delight	_	0
_	delineates	delineate	_	0
_	delivers	deliver	_	1
_	deludes	delude	_	0
_	delves	delve	_	0
_	demands	demand	_	1
_	demilitarizes	demilitarize	_	0
_	demobilizes	demobilize	_	0
_	democratizes	democratize	_	0
_	demolishes	demolish	_	0
_	demonstrates	demonstrate	_	1
_	demotes	demote	_	0
_	denies	deny	_	1
_	denominates	denominate	_	0
_	denotes	denote	_	1
_	denounces	denounce	_	0
_	dents	dent	_	0
_	denudes	denude	_	0
_	departs	depart	_	0
_	depends	depend	_	1
_	depicts	depict	_	1
_	depletes	deplete	_	0
_	deplores	deplore	_	0
_	deploys	deploy	_	0
_	deports	deport	_	0
_	deposes	depose	_	0
_	deposits	deposit	_	1
_	deprecates	deprecate	_	0
_	depresses	depress	_	0
_	deprives	deprive	_	0
_	derails	derail	_	0
_	deregulates	deregulate	_	0
_	derides	deride	_	0
_	derives	derive	_	1
_	descends	descend	_	0
_	describes	describe	_	1
_	deserts	desert	_	1
